"show_1","show_2","distance"
"Elfen Lied","Steins;Gate","0.449854030542963"
"Steins;Gate","One Punch Man","0.386314867556676"
"One Punch Man","Steins;Gate","0.386314867556676"
"Steins;Gate","The Future Diary","0.352097352073573"
"The Future Diary","Steins;Gate","0.352097352073573"
"Steins;Gate","Fullmetal Alchemist","0.52852534725836"
"Fullmetal Alchemist","Steins;Gate","0.52852534725836"
"Steins;Gate","Gurren Lagann","0.432564989498013"
"Gurren Lagann","Steins;Gate","0.432564989498013"
"Steins;Gate","Angel Beats!","0.335558388449051"
"Angel Beats!","Steins;Gate","0.335558388449051"
"Steins;Gate","Code Geass: Lelouch of the Rebellion","0.379007516633926"
"Code Geass: Lelouch of the Rebellion","Steins;Gate","0.379007516633926"
"Naruto","Sword Art Online II","0.538265391120253"
"Sword Art Online II","Naruto","0.538265391120253"
"Naruto","Blue Exorcist","0.450318359398917"
"Blue Exorcist","Naruto","0.450318359398917"
"Naruto","Akame ga Kill!","0.540356327049432"
"Akame ga Kill!","Naruto","0.540356327049432"
"Naruto","Sword Art Online","0.426351628348811"
"Sword Art Online","Naruto","0.426351628348811"
"Naruto","Noragami: Stray God","0.519859114570151"
"Noragami: Stray God","Naruto","0.519859114570151"
"Naruto","No Game, No Life","0.504935110063086"
"No Game, No Life","Naruto","0.504935110063086"
"Naruto","Code Geass: Lelouch of the Rebellion R2","0.43138763343123"
"Code Geass: Lelouch of the Rebellion R2","Naruto","0.43138763343123"
"Naruto","Death Note","0.347518227174802"
"Death Note","Naruto","0.347518227174802"
"Naruto","Attack on Titan","0.422885086568748"
"Attack on Titan","Naruto","0.422885086568748"
"Naruto","Soul Eater","0.465423051325829"
"Soul Eater","Naruto","0.465423051325829"
"Naruto","Elfen Lied","0.444582232323025"
"Elfen Lied","Naruto","0.444582232323025"
"Naruto","One Punch Man","0.486032360500335"
"One Punch Man","Naruto","0.486032360500335"
"Naruto","The Future Diary","0.495572117918486"
"The Future Diary","Naruto","0.495572117918486"
"Naruto","Fullmetal Alchemist","0.418299439567591"
"Fullmetal Alchemist","Naruto","0.418299439567591"
"Naruto","Gurren Lagann","0.503307149854059"
"Gurren Lagann","Naruto","0.503307149854059"
"Naruto","Angel Beats!","0.466664694619063"
"Angel Beats!","Naruto","0.466664694619063"
"Naruto","Code Geass: Lelouch of the Rebellion","0.406514474447401"
"Code Geass: Lelouch of the Rebellion","Naruto","0.406514474447401"
"Sword Art Online II","Blue Exorcist","0.447265065958719"
"Blue Exorcist","Sword Art Online II","0.447265065958719"
"Sword Art Online II","Akame ga Kill!","0.324922979090752"
"Akame ga Kill!","Sword Art Online II","0.324922979090752"
"Sword Art Online II","Sword Art Online","0.254265953222384"
"Sword Art Online","Sword Art Online II","0.254265953222384"
"Sword Art Online II","Noragami: Stray God","0.381431877458572"
"Noragami: Stray God","Sword Art Online II","0.381431877458572"
"Sword Art Online II","No Game, No Life","0.299655135347937"
